,Percentage of boys who agreed/strongly agreed with the following:,,,,,,,,,,,,Percentage of girls who agreed/strongly agreed with the following:,,,,,,,,,,,,Gender difference in the percentage of students who agreed/strongly agreed with the following: (B-G):,,,,,,,,,,,,Percentage of socio-economically disadvantaged1 students who agreed/strongly agreed with the following:,,,,,,,,,,,,Percentage of socio-economically advantaged2 students who agreed/strongly agreed with the following:,,,,,,,,,,,,Socio-economic disparity in the percentage of students who agreed/strongly agreed with the following (advantaged - disadvantaged):,,,,,,,,,,,
,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,,I forget about time when I'm using digital devices,,The Internet is a great resource for obtaining information I am interested in ,, It is very useful to have social networks on the Internet,, I am really excited discovering new digital devices or applications,,I really feel bad if no Internet connection is possible,, I like using digital devices,
,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,%,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.,% dif.,S.E.
OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,73.2,-1,93.7,-0.6,88.6,-0.6,83.3,-0.7,79.4,-0.8,95.5,-0.4,73.4,-0.9,95.2,-0.5,91.6,-0.7,76.3,-0.8,79.2,-0.8,95.7,-0.4,-0.2,-1.4,-1.6,-0.7,-2.9,-0.9,6.9,-1.1,0.2,-1.1,-0.2,-0.6,73.7,-1.3,92.7,-0.9,90.2,-0.9,79.8,-1.2,78.7,-1.3,94,-0.6,72,-1.5,96.5,-0.6,90,-0.8,78.3,-1.1,77.2,-1,96.3,-0.5,-1.7,-1.8,3.9,-1.1,-0.2,-1.3,-1.4,-1.8,-1.5,-1.7,2.3,-0.8
Slovak Republic,57.8,-0.9,82.6,-0.8,75.3,-0.9,70,-0.9,46.4,-0.9,83.7,-0.8,60.7,-1.1,87.8,-0.7,77.9,-0.9,54.5,-1.2,44.9,-1,86,-0.8,-3,-1.5,-5.2,-1,-2.6,-1.2,15.5,-1.5,1.5,-1.5,-2.4,-1,56,-1.4,77.5,-1.4,70.1,-1.6,58.2,-1.6,47.2,-1.3,77.9,-1.2,61.4,-1.5,90.8,-0.8,80.6,-1.1,63.7,-1.4,42.6,-1.4,89.9,-0.9,5.4,-2,13.3,-1.5,10.5,-1.9,5.5,-2,-4.6,-2.1,12,-1.4
Slovenia,58.3,-1,86.8,-0.7,80.7,-0.9,78,-0.8,39.4,-1,88.4,-0.6,64.8,-1.2,90.7,-0.6,84.6,-0.8,63.3,-1.1,37.8,-1.1,90.7,-0.6,-6.6,-1.6,-3.9,-0.9,-3.9,-1.3,14.7,-1.4,1.5,-1.5,-2.3,-0.8,63.9,-1.5,84.2,-1.2,83.6,-1.1,71.2,-1.4,46.2,-1.6,88,-0.8,57.4,-1.9,92.4,-0.9,82.8,-1.2,69.8,-1.6,32.3,-1.8,90.8,-0.9,-6.5,-2.4,8.3,-1.4,-0.8,-1.6,-1.5,-2,-13.9,-2.3,2.8,-1.2
Spain,59.4,-0.7,90.2,-0.8,86.6,-0.8,73.6,-1,68.4,-1,92.3,-0.6,62,-1,93.8,-0.5,90.5,-0.5,63.6,-1,69.3,-0.9,93.7,-0.4,-2.6,-1.2,-3.6,-0.8,-3.9,-0.8,10.1,-1.4,-0.9,-1.4,-1.4,-0.6,62.6,-1.6,89.4,-1.1,86.8,-1.1,66.2,-1.5,70.4,-1.3,92.1,-0.8,60.5,-1.4,94.7,-0.6,90.6,-0.7,69.6,-1.5,68.3,-1.7,94.4,-0.7,-2.1,-2.1,5.3,-1.1,3.8,-1.2,3.4,-1.9,-2.1,-2.2,2.3,-0.9
Sweden,52.2,-1,87.2,-0.8,84,-0.9,79.4,-1,73.3,-1,91,-0.8,58.2,-1.2,88.8,-0.7,91,-0.6,73.4,-1.1,82.2,-0.8,92.7,-0.6,-5.9,-1.6,-1.6,-0.9,-7.1,-1.1,5.9,-1.4,-8.9,-1.2,-1.7,-0.8,57.4,-1.6,83.6,-1.1,86.9,-1,73.8,-1.5,81,-1.2,90.6,-1,57.4,-1.7,92.5,-0.8,87.5,-1.1,77.3,-1.5,76.8,-1.4,93.6,-0.8,0,-2.3,8.9,-1.3,0.6,-1.4,3.5,-2,-4.2,-1.8,3,-1.3
Switzerland,60.2,-1,85.9,-1,77.2,-1,67.5,-1.1,42.5,-1.4,90,-0.7,63,-1.1,87.9,-0.8,83.5,-0.8,53.6,-1.2,43.8,-1.3,91.1,-0.6,-2.8,-1.3,-2,-1,-6.3,-1.3,13.9,-1.7,-1.4,-1.5,-1.1,-1,61.4,-1.5,82.2,-1.4,82.4,-1.3,63.1,-1.5,48.9,-1.5,88.9,-1,63.7,-1.3,93.1,-0.8,79.2,-1.1,58.6,-1.5,42.5,-2,93.8,-0.8,2.3,-2,11,-1.6,-3.2,-1.7,-4.6,-2,-6.4,-2.7,4.9,-1.2
Turkey,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
United Kingdom,61.6,-1.2,93.5,-0.6,90.5,-0.6,76.8,-0.9,64.1,-1.1,95.1,-0.5,68.5,-1.2,91,-0.7,92.3,-0.5,65.1,-0.9,66.4,-1,95.8,-0.5,-6.9,-1.4,2.5,-0.7,-1.9,-0.7,11.7,-1.3,-2.3,-1.4,-0.7,-0.6,64.4,-1.7,89,-1.1,91.2,-1,70.3,-1.5,67.8,-1.6,94.4,-0.8,62.9,-1.5,96.1,-0.9,92.4,-0.9,71.4,-1.6,63.8,-1.4,96,-0.9,-1.5,-2.1,7.2,-1.4,1.2,-1.2,1.1,-2.2,-4.1,-2.1,1.6,-1.2
United States,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
OECD average,58.1,-0.2,87,-0.1,82.1,-0.2,72.3,-0.2,52.8,-0.2,89.5,-0.1,63.2,-0.2,89.6,-0.1,86.5,-0.1,60.9,-0.2,55.4,-0.2,90.4,-0.1,-5.1,-0.3,-2.5,-0.2,-4.4,-0.2,11.4,-0.3,-2.6,-0.3,-0.9,-0.2,59.9,-0.3,83.5,-0.2,82.7,-0.2,64.9,-0.3,56,-0.3,87,-0.2,60.7,-0.3,92.7,-0.1,85.3,-0.2,67.4,-0.3,52,-0.3,92.3,-0.1,0.8,-0.4,9.2,-0.3,2.6,-0.3,2.5,-0.4,-4,-0.4,5.3,-0.2
Partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Algeria,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Brazil,64.6,-1,86.8,-0.7,82.6,-0.7,81.3,-0.8,67.1,-0.9,85.2,-0.8,67,-0.7,90.3,-0.5,84,-0.5,80.6,-0.7,69.3,-0.8,87.9,-0.6,-2.4,-1.2,-3.5,-0.8,-1.3,-0.8,0.7,-0.8,-2.2,-0.9,-2.8,-0.9,59.1,-1.3,82.3,-1.1,76.5,-1.1,74.7,-1.2,61.1,-1.5,78.7,-1,70.5,-1.1,91.9,-0.8,86.4,-0.7,84.8,-0.9,72.6,-1,91,-0.6,11.3,-1.9,9.6,-1.3,9.9,-1.4,10.1,-1.4,11.4,-1.6,12.3,-1.2
B-S-J-G (China),43.4,-1,82.7,-0.8,84.4,-0.7,63.9,-0.9,55,-1,85,-0.7,41.5,-1,81.6,-1.2,79.3,-0.9,48.6,-0.9,43.9,-1.2,78.5,-1.1,1.8,-1.4,1.1,-1.1,5.1,-1,15.3,-1.2,11.1,-1.6,6.6,-1,39.4,-1.3,72.2,-1.6,75.5,-1.4,48.6,-1.5,44.4,-1.5,72.2,-1.3,43.3,-1.2,91.6,-1.4,88.6,-0.7,68.2,-1.2,54.6,-1.7,89.4,-1.3,4,-1.7,19.4,-2.1,13.1,-1.7,19.5,-2,10.2,-2.2,17.1,-1.7
Bulgaria,56.9,-1.1,78.6,-1.3,73.6,-1.1,64,-1,61.6,-1.3,81.8,-1.2,60.5,-1.1,85.9,-1,80.1,-1,59.9,-1.2,65.1,-1.1,88.3,-0.8,-3.6,-1.4,-7.3,-1.3,-6.5,-1.3,4.1,-1.4,-3.5,-1.9,-6.5,-1.3,56.2,-1.7,73.2,-1.9,74.4,-1.8,59,-1.9,66.9,-1.6,78.6,-1.7,59.8,-1.7,89.9,-1.1,81,-1,63.1,-1.6,63.2,-1.2,90.7,-1,3.6,-2.4,16.6,-1.9,6.5,-1.9,4.1,-2.3,-3.7,-1.9,12.1,-1.7
CABA (Argentina),m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Colombia,71.4,-1.2,82,-0.9,81.3,-0.9,75.9,-1.1,51.5,-0.9,84.2,-0.9,73.3,-0.9,84.3,-0.8,84.1,-0.8,72,-0.7,47.2,-1,86.3,-0.7,-1.9,-1.2,-2.4,-1,-2.8,-0.9,3.8,-1.2,4.3,-1.3,-2.1,-1,59.1,-2,74.3,-1.5,75.4,-1.4,65,-1.5,39.6,-1.9,76.3,-1.6,79.7,-1,90.8,-0.8,88.4,-1,79.1,-1.3,53.5,-1.3,91.4,-0.7,20.7,-2.3,16.5,-1.7,13,-1.7,14.1,-2,13.9,-2.5,15.2,-1.8
Costa Rica,58.7,-1,87.5,-0.7,87.1,-0.6,88,-0.8,54.6,-1,91.5,-0.6,59,-1.1,87.4,-0.9,86.2,-0.7,84.3,-0.7,51.5,-1.1,90.9,-0.7,-0.3,-1.1,0.1,-1.1,1,-1,3.7,-1,3.1,-1.4,0.7,-0.8,49.1,-1.4,82.6,-1.4,83.2,-1,78.5,-1.6,49,-1.6,86.5,-1.3,68.4,-1.4,93.1,-0.7,88.8,-0.9,90.7,-0.8,55.9,-1.4,94.5,-0.6,19.3,-1.9,10.5,-1.5,5.7,-1.3,12.2,-1.8,6.9,-2.2,8.1,-1.4
Croatia,62,-1,90.3,-0.7,84.3,-0.8,67,-1,57.8,-1,89.5,-0.6,67.7,-1.1,93.2,-0.6,85.2,-0.7,52.2,-0.9,63.3,-0.9,93.1,-0.5,-5.7,-1.5,-2.9,-0.9,-0.8,-1,14.7,-1.3,-5.5,-1.3,-3.6,-0.7,65,-1.3,89.5,-0.9,83.8,-1,58.1,-1.2,60.1,-1.3,88.8,-1.1,62.5,-1.4,94.4,-0.7,84.7,-1,58.4,-1.4,61,-1.7,93.7,-0.7,-2.5,-1.9,4.9,-1,0.9,-1.5,0.3,-1.8,0.9,-2,4.9,-1.3
"Cyprus3,4",m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Dominican Republic,50.1,-1.4,78.2,-1.2,80.3,-1.1,76.7,-1.2,54.8,-1.4,84.5,-1,46,-1.6,81.6,-1.1,83.2,-1.2,76.4,-1.2,52.9,-1.5,84.8,-0.9,4,-2.1,-3.4,-1.4,-2.9,-1.5,0.3,-1.6,1.9,-2,-0.3,-1.2,35.1,-2.2,71.1,-2.2,73.6,-2.1,67.4,-2,45.7,-2.5,77.5,-1.8,56.9,-1.7,88,-1.2,88.6,-1.3,84.8,-1.5,56.4,-2,91.7,-0.9,21.8,-2.6,16.9,-2.5,15.1,-2.4,17.5,-2.4,10.6,-3.4,14.2,-2.1
FYROM,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Georgia,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Hong Kong (China),64.4,-1,88.7,-0.8,87.8,-0.8,75.3,-0.8,63.9,-0.9,91.9,-0.7,66.5,-1.1,92.9,-0.6,92.7,-0.5,65.1,-0.9,64.2,-1.2,93.6,-0.5,-2.1,-1.4,-4.2,-0.9,-5,-0.9,10.2,-1.2,-0.3,-1.3,-1.7,-0.8,66.2,-1.3,87.9,-1,89.2,-1.1,67.7,-1.2,65.3,-1.4,91.8,-0.8,63,-1.8,93.4,-0.8,91.3,-0.9,70.3,-1.4,62.5,-1.3,93.4,-0.8,-3.1,-2.3,5.5,-1.1,2,-1.3,2.6,-1.9,-2.9,-1.8,1.7,-1.1
Indonesia,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Jordan,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Kosovo,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Lebanon,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Lithuania,40.4,-0.9,78.1,-0.9,59.1,-0.9,69.8,-1,48.6,-1,80.5,-0.8,42.4,-1,82.7,-0.8,60,-1,56.9,-1.1,51.5,-1.1,85,-0.8,-2,-1.4,-4.6,-1.1,-0.9,-1.4,12.9,-1.2,-2.9,-1.5,-4.5,-1.2,37.8,-1.4,74.7,-1.4,57.2,-1.6,59.2,-1.9,47.1,-1.7,77.7,-1.2,44.2,-1.3,84.8,-1,62.1,-1.5,66.7,-1.5,50.3,-1.5,87.2,-0.9,6.4,-2,10.2,-1.7,4.9,-2.2,7.5,-2.3,3.2,-2.5,9.5,-1.4
Macao (China),54.8,-1.1,90.5,-0.7,92.7,-0.5,85.4,-0.7,63.4,-0.9,91.8,-0.6,62.4,-1.1,94,-0.5,96.1,-0.4,84.1,-0.8,70,-1.1,93.9,-0.5,-7.6,-1.6,-3.5,-0.8,-3.4,-0.7,1.3,-1.1,-6.6,-1.5,-2.1,-0.8,59.5,-1.5,90.4,-0.9,93.7,-0.6,84.6,-1.1,67.8,-1.6,91.5,-0.8,59.7,-1.6,93.8,-0.6,93.7,-0.8,82.4,-1.2,65.3,-1.4,93.3,-0.7,0.2,-2,3.4,-1.2,0,-1.1,-2.2,-1.8,-2.5,-2,1.9,-1
Malta,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Moldova,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Montenegro,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Peru,59.1,-1,86.2,-0.8,83.4,-0.8,81.2,-0.7,46.9,-1,85.3,-0.6,59.4,-1.1,88.2,-0.8,85.5,-0.9,77.5,-0.9,47.4,-1,83.6,-0.9,-0.2,-1.5,-2,-1.1,-2,-1.1,3.7,-1.1,-0.4,-1.2,1.6,-1.1,46.8,-1.7,77.5,-1.6,73.9,-1.4,72.6,-1.4,42.9,-1.4,74.4,-1.4,67.2,-1.2,93.2,-0.6,91.3,-0.9,83.7,-1,49.8,-1.3,91.8,-0.6,20.3,-2.2,15.7,-1.7,17.4,-1.7,11.1,-1.8,6.9,-1.9,17.4,-1.6
Qatar,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Romania,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Russia,42,-1.2,87.2,-0.9,74.2,-1,67.8,-1.2,40.6,-1,86.9,-1,46.5,-1.1,90.4,-0.7,77.2,-1,66.6,-1.3,48.8,-1.5,89.8,-0.7,-4.5,-1.8,-3.3,-1,-3,-1.4,1.1,-1.7,-8.2,-2,-2.9,-1.5,43.7,-1.5,86.7,-1.1,75,-1.4,66.9,-1.4,45.5,-1.7,86.6,-1.3,44.6,-1.3,89.1,-1.2,74.2,-1.2,66.1,-1.6,44.8,-1.6,90,-1.1,0.9,-1.9,2.4,-1.6,-0.9,-1.9,-0.8,-1.9,-0.7,-2.5,3.4,-1.9
Singapore,60.6,-0.9,93.6,-0.4,90.1,-0.5,84.6,-0.7,71.3,-0.8,94.7,-0.4,65.8,-0.9,94.7,-0.4,93,-0.5,75.7,-0.7,73.6,-0.8,94.5,-0.4,-5.2,-1.3,-1.1,-0.6,-3,-0.7,8.9,-0.9,-2.4,-1.1,0.1,-0.6,63.6,-1.1,90.8,-0.7,90.9,-0.8,80.4,-1.2,75.2,-1.3,93.2,-0.8,61.2,-1.5,96.3,-0.7,90.3,-0.8,78.9,-1.3,69.4,-1.5,95.5,-0.7,-2.4,-1.6,5.5,-0.9,-0.6,-0.9,-1.6,-1.9,-5.8,-2.1,2.3,-1
Chinese Taipei,58.9,-0.7,89,-0.6,90.2,-0.5,79.4,-0.7,80.2,-0.7,92.5,-0.5,64.4,-0.8,92.7,-0.5,91.2,-0.6,70.7,-0.8,82.4,-0.6,91.7,-0.5,-5.4,-1,-3.6,-0.8,-1,-0.9,8.7,-1.2,-2.2,-0.8,0.8,-0.7,61.6,-1.3,84.3,-1,88.8,-0.8,69.3,-1.3,80.1,-1.1,88.3,-0.8,59.9,-1.2,94.1,-0.6,89.8,-0.7,79.2,-1.1,80.5,-1.1,93.6,-0.7,-1.7,-2,9.8,-1.1,1,-1.1,9.9,-1.6,0.4,-1.5,5.2,-1.1
Thailand,61.7,-1.2,81.9,-1.2,82.9,-1,75.2,-1,70.9,-1,82.5,-0.9,59,-1,88.2,-0.7,87.8,-0.7,74.8,-0.8,70.8,-0.9,83.9,-0.8,2.6,-1.3,-6.3,-1.3,-5,-1.1,0.4,-1.3,0.1,-1.1,-1.4,-1,52.1,-1.4,78.4,-1.3,79.8,-1.1,67.8,-1.5,63.8,-1.3,76.5,-1.3,68.9,-1.4,92,-0.9,92.4,-0.8,80,-1.1,78.2,-1.4,91.5,-0.9,16.7,-2,13.6,-1.4,12.7,-1.3,12.2,-1.9,14.4,-1.9,15,-1.6
Trinidad and Tobago,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Tunisia,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
United Arab Emirates,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Uruguay,38.8,-1.2,81.5,-1,82.4,-1,72.2,-1.1,57.5,-1.2,85.9,-0.8,38.7,-1,85.5,-0.8,85.6,-0.8,67.9,-1.1,59.1,-1.1,87,-0.7,0.1,-1.7,-4.1,-1,-3.2,-1.1,4.3,-1.5,-1.6,-1.6,-1.2,-1,34.2,-1.5,76.4,-1.7,77.9,-1.5,63,-1.8,52,-1.8,80.3,-1.5,41.9,-1.5,88.8,-1.1,87.3,-1,73.8,-1.6,59.4,-1.5,91.6,-0.9,7.7,-2.1,12.4,-2,9.5,-1.7,10.8,-2.5,7.5,-2.4,11.3,-1.7
Viet Nam,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina*,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Kazakhstan*,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Malaysia*,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
