Entidad,Total,Hombres,Mujeres
60 Y MÁS AÑOS,16220.2995,23871.49881,9542.769123
MORELOS,14957.75859,18288.35466,11348.92515
12-19 AÑOS,4189.871746,5062.504036,3125.937771
20-29 AÑOS,13441.09314,15797.65277,10654.91698
30-39 AÑOS,17287.43804,20230.93036,14036.98445
40-49 AÑOS,20820.44702,26559.40759,14426.07648
50-59 AÑOS,23155.28073,29609.27647,16912.88024
60 Y MÁS AÑOS,15568.12756,19894.51477,11469.91831
NAYARIT,16265.71663,19600.93356,12647.747
12-19 AÑOS,3968.357001,5228.733208,2616.678315
20-29 AÑOS,17049.78184,21309.78108,12208.56168
30-39 AÑOS,21391.04245,26048.48012,16430.21988
40-49 AÑOS,24028.36294,29361.37955,18409.87977
50-59 AÑOS,26389.13765,28289.19366,24341.90268
60 Y MÁS AÑOS,18407.06916,23680.18525,12876.47947
NUEVO LEÓN,27550.61327,33328.37009,19560.31451
12-19 AÑOS,7923.708131,8775.078041,6765.659752
20-29 AÑOS,23200.2773,23954.03843,21933.38893
30-39 AÑOS,32361.36792,38918.28527,23106.14852
40-49 AÑOS,36567.96916,45210.08006,24139.65925
50-59 AÑOS,42990.70992,53608.47472,28138.78005
60 Y MÁS AÑOS,19633.97704,25341.8721,13189.91183
OAXACA,10568.63636,13090.62157,8197.271021
12-19 AÑOS,3141.090989,3727.315048,2459.602675
20-29 AÑOS,11609.92547,14591.41281,8604.707807
30-39 AÑOS,14682.7974,18468.07576,11520.12074
40-49 AÑOS,16661.62373,21248.47348,12362.79025
50-59 AÑOS,14935.37225,18154.66176,12198.77779
60 Y MÁS AÑOS,10077.24378,13382.96376,7177.29263
PUEBLA,13110.13725,16387.40836,9603.617154
12-19 AÑOS,4174.033462,5183.121745,2858.40417
20-29 AÑOS,13811.44002,16533.34008,10517.69078
30-39 AÑOS,17455.53895,22661.44526,12086.4577
40-49 AÑOS,19275.90738,25132.43671,13603.22234
50-59 AÑOS,16934.41089,20751.95879,12866.84296
60 Y MÁS AÑOS,10680.188,14584.11145,7396.793949
QUERÉTARO,22895.23392,27908.40922,17256.54531
12-19 AÑOS,6452.420623,7587.108242,5189.476871
20-29 AÑOS,21324.52795,23676.68707,18455.76788
30-39 AÑOS,29174.52426,36817.15844,20329.70888
40-49 AÑOS,30896.50653,38203.78908,22806.68763
50-59 AÑOS,29402.94247,35210.766,23292.55184
60 Y MÁS AÑOS,22542.05536,29412.09075,15214.21367
QUINTANA ROO,20882.4377,24125.59913,16868.92564
12-19 AÑOS,5320.169195,6409.629404,3848.53021
20-29 AÑOS,20434.93428,23285.98332,16500.98671
30-39 AÑOS,25205.44709,29147.04839,20775.89024
40-49 AÑOS,30210.50999,35429.07301,23111.5592
50-59 AÑOS,26596.82857,29040.33878,24031.39172
60 Y MÁS AÑOS,19894.13131,25510.32779,13389.76039
SAN LUIS POTOSÍ,15490.87261,18717.937,12084.20834
12-19 AÑOS,4267.194146,4890.225945,3573.336336
20-29 AÑOS,18728.10975,22881.64843,13218.98183
30-39 AÑOS,20761.53929,25605.7506,15927.28867
40-49 AÑOS,22520.61465,28118.93397,16895.38276
50-59 AÑOS,21355.15786,23169.16879,19510.12388
60 Y MÁS AÑOS,12711.42915,15898.43732,9781.742967
SINALOA,18567.35997,22719.30136,14028.45285
12-19 AÑOS,4300.108104,5052.765153,3505.06777
20-29 AÑOS,17094.52351,20216.84292,13388.0788
30-39 AÑOS,28214.26794,36276.09643,19100.54353
40-49 AÑOS,26721.54803,32695.01563,20196.88877
50-59 AÑOS,27743.14324,34136.65432,21086.11337
60 Y MÁS AÑOS,18465.89829,21976.40055,14901.69263
SONORA,22462.77995,27872.06665,16057.02078
12-19 AÑOS,5996.006337,6819.451609,4996.652156
20-29 AÑOS,21174.49626,24616.57048,17020.21949
30-39 AÑOS,29489.47117,36563.29749,21260.34712
40-49 AÑOS,29868.87571,35413.88446,23019.37436
50-59 AÑOS,32708.43306,42056.09477,20664.30653
60 Y MÁS AÑOS,22092.124,30075.58627,13801.69552
TABASCO,13286.6073,17046.94466,9230.7737
12-19 AÑOS,2872.970266,3330.983051,2270.257237
20-29 AÑOS,12607.17405,15813.80334,8775.683041
30-39 AÑOS,17874.24316,23066.43989,12907.00784
40-49 AÑOS,18705.72152,24008.20926,13185.67906
50-59 AÑOS,21108.42897,28164.73614,12536.16943
60 Y MÁS AÑOS,12204.80996,15602.85251,8730.146365
TAMAULIPAS,18642.54978,23109.54412,13581.71518
12-19 AÑOS,4100.157269,4783.539527,3172.943542
20-29 AÑOS,17129.18262,19576.99623,14478.50009
30-39 AÑOS,25394.71654,30262.50632,19393.41862
40-49 AÑOS,23215.63262,27995.93899,17970.56437
50-59 AÑOS,23896.1006,28760.25975,18638.07272
60 Y MÁS AÑOS,20927.07056,31254.80886,10093.06645
TLAXCALA,13723.29821,16671.46569,10395.67035
12-19 AÑOS,4504.393665,5380.76039,3306.03596
20-29 AÑOS,14667.87717,17040.01906,11237.3338
30-39 AÑOS,18444.6157,22361.99604,14359.60914
40-49 AÑOS,18404.55774,23008.38554,13839.69715
50-59 AÑOS,18256.16349,23069.54687,13357.24732
60 Y MÁS AÑOS,10949.62477,14700.2984,7255.306792
VERACRUZ DE IGNACIO DE LA LLAVE,12034.44269,13999.4702,9942.996515
12-19 AÑOS,2937.65887,3232.22019,2570.621674
20-29 AÑOS,11339.80274,13212.01794,9153.847888
30-39 AÑOS,18784.31403,19795.62049,17748.01065
40-49 AÑOS,15259.68842,18507.11324,11877.82237
50-59 AÑOS,16699.022,20463.04899,13007.98519
60 Y MÁS AÑOS,11241.76449,15089.24418,7577.215154
YUCATÁN,16804.23333,20890.30076,12277.67883
12-19 AÑOS,3912.285146,4511.498374,3238.058617
20-29 AÑOS,15631.89739,18453.39229,11917.86301
30-39 AÑOS,20197.77185,26169.45193,13524.23818
40-49 AÑOS,24090.99757,30125.04125,17971.75806
50-59 AÑOS,25598.74757,32626.88059,17622.94552
60 Y MÁS AÑOS,16994.21496,21444.49514,12777.97829
ZACATECAS,13009.20029,16068.04031,9636.692419
12-19 AÑOS,4497.683162,5333.842049,3447.308358
20-29 AÑOS,14599.9561,16908.95682,11920.10207
30-39 AÑOS,18024.03318,23106.37451,12699.20342
40-49 AÑOS,17342.30264,20773.27527,13405.88648
50-59 AÑOS,20379.84101,26436.47274,13454.16757
60 Y MÁS AÑOS,11246.05971,14544.8039,8158.294348
